,OCCASION,SIZE,Type,Theme,Icing,Flavour,Colour,Topping,PRICE,Collection Date,Cost,YEAR CELEBRATING,Total Flavours,Month,Cost Range
47,Birthday ,25cm,Round,None,Fondant,carrot,Gold,Happy Birthday,300.0,2023-12-03,236.0, 30,1,December,150-300
48,Graduation,25cm,Round,None,Fondant,red-velvet,White,Books,300.0,2023-12-07,244.0,,1,December,150-300
49,Graduation,25cm,Round,None,Fondant,chocolate,White,Pencils,300.0,2023-12-07,210.0,,1,December,150-300
50,Graduation,25cm,Square,None,Fondant,vanilla,White,Books,300.0,2023-12-08,200.0,,1,December,150-300
51,Birthday ,25cm,Round,None,Naked,carrot,Nude,Happy Birthday,300.0,2023-12-16,208.0, 40,1,December,150-300
52,Birthday ,25cm,Round,None,Naked,lemon,Nude,Happy Birthday,300.0,2023-12-24,226.0, 30,1,December,150-300
53,Birthday ,2step,Round,None,Naked,red-velvet,Nude,Happy Birthday,600.0,2023-06-16,465.0, 21,1,June,450-600
54,Birthday ,2step,Round,None,Naked,lemon,Nude,Happy Birthday,600.0,2023-09-05,455.0, 33,1,September,450-600
55,Birthday ,2step,Round,None,Buttercream,vanilla,Gold,Happy Birthday,600.0,2023-09-17,471.0, 16,1,September,450-600
56,Birthday ,2step,Round,None,Naked,carrot,Nude,Happy Birthday,600.0,2023-10-31,447.0, 30,1,October,300-450
57,Birthday ,3step,Round,None,Buttercream,red-velvet carrot lemon,Nude,Happy Birthday,700.0,2023-03-16,588.0, 50,3,March,450-600
58,Birthday ,3step,Round,None,Naked,lemon,White,Happy Birthday,700.0,2023-04-08,552.0, 35,1,April,450-600
59,Birthday ,30cm,Square,Princess,Fondant,vanilla,Pink,Happy Birthday,350.0,2023-03-16,295.0, 13,1,March,150-300
60,Birthday ,30cm,Square,Princess,Fondant,red-velvet,Pink,Happy Birthday,350.0,2023-05-06,298.0, 5,1,May,150-300
61,Birthday ,30cm,Square,None,Fondant,lemon,Gold,Happy Birthday,350.0,2023-07-21,285.0, 50,1,July,150-300
62,Birthday ,30cm,Round,None,Buttercream,carrot,White,Happy Birthday,350.0,2023-08-27,295.0, 40,1,August,150-300
63,Birthday ,30cm,character,Froggie,Fondant,vanilla,Green,Happy Birthday,350.0,2023-08-29,251.0, 5,1,August,150-300
64,Birthday ,30cm,Square,None,Naked,lemon,White,Happy Birthday,350.0,2023-09-04,261.0, 40,1,September,150-300
65,Birthday ,30cm,character,Princess Elsa,Fondant,carrot,Blue,Happy Birthday,350.0,2023-09-12,285.0, 5,1,September,150-300
66,Birthday ,30cm,Square,Princess,Fondant,chocolate,Pink,Happy Birthday,350.0,2023-09-27,264.0, 5,1,September,150-300
67,Graduation,30cm,Square,None,Naked,vanilla,Blue,Congratulations,350.0,2023-11-30,273.0,,1,November,150-300
68,Graduation,30cm,Square,None,Fondant,vanilla,White,Congratulations,350.0,2023-12-02,263.0,,1,December,150-300
69,Graduation,30cm,character,Book,Fondant,chocolate,White,Hat,350.0,2023-12-02,267.0,,1,December,150-300
70,Graduation,30cm,character,Book,Fondant,red-velvet,Brown,Hat,350.0,2023-12-07,253.0,,1,December,150-300
71,Birthday ,3step,1 Square 2 Round,None,Buttercream,vanilla,Nude,Happy Birthday,700.0,2023-07-31,590.0, 50,1,July,450-600
72,Birthday ,50cm,Square,None,Buttercream,chocolate,White,Happy Birthday,500.0,2023-09-07,418.0, 50,1,September,300-450
73,Birthday ,50cm,Square,None,Buttercream,vanilla,Red,Happy Birthday,500.0,2023-09-10,423.0, 80,1,September,300-450
74,Birthday ,50cm,Square,None,Buttercream,lemon,White,Happy Birthday,500.0,2023-09-19,405.0, 80,1,September,300-450
75,House Warming,Bunch,Bunch,None,Buttercream,carrot lemon,Red,None,400.0,2023-03-25,350.0,,2,March,300-450
76,Wedding,5step,Round,None,Fondant,vanilla carrot lemon,White,Couple,2000.0,2023-04-08,1004.0,,3,April,>900
77,Wedding,5step,Round,None,Fondant,vanilla,White,Couple,2000.0,2023-09-23,1377.0,,1,September,>900
78,Wedding,5step,Round,None,Fondant,vanilla lemon,White,Couple,2000.0,2023-09-23,1484.0,,2,September,>900
79,Wedding,5step,Round,None,Fondant,vanilla,White,Couple,2000.0,2023-09-23,1179.0,,1,September,>900
80,Wedding,5step,Round,None,Fondant,vanilla red-velvet carrot,White,Couple,2000.0,2023-09-24,1379.0,,3,September,>900
81,Wedding,5step,Round,None,Fondant,vanilla lemon,White,Couple,2000.0,2023-12-23,1337.0,,2,December,>900
82,Wedding,5step,Round,None,Fondant,chocolate red-velvet carrot,White,Couple,2000.0,2023-12-30,1413.0,,3,December,>900
